FILE,PAGE,LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5,TRUE
MTX202210023f,54,PHOTO,DRAW,PHOTO_L,TEXT_P,LINE_P,0.997,0.002,0,0,0,PHOTO
MTX202210023f,55,PHOTO,DRAW,TEXT_P,TEXT_T,PHOTO_L,0.999,0,0,0,0,PHOTO
MTX202210023f,56,PHOTO,DRAW,PHOTO_L,TEXT_HW,TEXT_P,0.993,0.005,0.001,0.001,0.001,PHOTO
MTX202210023f,57,PHOTO,DRAW,PHOTO_L,LINE_P,TEXT_P,0.994,0.004,0.001,0,0,PHOTO
MTX202210033,16,LINE_HW,DRAW,TEXT,LINE_T,PHOTO_L,0.999,0,0,0,0,LINE_HW
MTX202210033,17,LINE_HW,LINE_P,LINE_T,TEXT,PHOTO_L,0.999,0,0,0,0,LINE_HW
MTX202210033,21,LINE_HW,LINE_P,TEXT,DRAW,PHOTO_L,0.999,0,0,0,0,LINE_HW
MTX202210033,22,LINE_HW,LINE_T,DRAW,TEXT,LINE_P,0.998,0.001,0.001,0,0,LINE_HW
MTX202210033,26,LINE_HW,LINE_T,TEXT,LINE_P,PHOTO_L,0.999,0,0,0,0,LINE_HW
MTX202210033,29,LINE_HW,DRAW,LINE_P,TEXT,PHOTO_L,0.999,0,0,0,0,LINE_HW
MTX202300556,16,PHOTO,PHOTO_L,LINE_HW,LINE_T,TEXT_P,1,0,0,0,0,PHOTO
MTX202300556,18,PHOTO,PHOTO_L,LINE_HW,TEXT_T,TEXT_P,1,0,0,0,0,PHOTO
MTX202300556,23,PHOTO,PHOTO_L,DRAW,DRAW_L,TEXT_HW,0.999,0.001,0,0,0,PHOTO
MTX202300556,24,PHOTO,PHOTO_L,LINE_P,DRAW,LINE_T,1,0,0,0,0,PHOTO
MTX202300556,25,PHOTO,DRAW,TEXT_P,PHOTO_L,LINE_P,0.999,0,0,0,0,PHOTO
MTX202300556,26,PHOTO,PHOTO_L,LINE_HW,DRAW_L,LINE_P,0.999,0,0,0,0,PHOTO
P043_00001_004,10,TEXT_HW,LINE_HW,TEXT_T,DRAW,LINE_T,0.999,0,0,0,0,TEXT_HW
P043_00001_009,1,TEXT_HW,TEXT,TEXT_T,LINE_HW,PHOTO,0.999,0,0,0,0,TEXT_HW
P043_00001_009,2,TEXT_HW,TEXT_T,TEXT,LINE_HW,LINE_T,0.999,0,0,0,0,TEXT_HW
P043_00001_041,2,TEXT_HW,LINE_HW,TEXT_T,PHOTO,TEXT,0.999,0,0,0,0,TEXT_HW
P043_00001_041,3,TEXT_HW,TEXT_T,LINE_HW,TEXT,PHOTO,0.999,0,0,0,0,TEXT_HW
P043_00002_014,11,TEXT_HW,TEXT_T,PHOTO_L,LINE_HW,TEXT,0.998,0.001,0.001,0,0,TEXT_HW
